"","lon","lat","ele","time"
"187",-61.4517039992,15.2394363005,"12.15","2017-04-20T12:10:40Z"
"188",-61.4523515012,15.2405830286,"12.63","2017-04-20T12:10:50Z"
"189",-61.4529820718,15.2417493705,"12.63","2017-04-20T12:11:00Z"
"190",-61.4536273945,15.2428964339,"12.15","2017-04-20T12:11:10Z"
"191",-61.4542562049,15.2440279908,"12.15","2017-04-20T12:11:20Z"
"192",-61.4548336342,15.2451870404,"12.63","2017-04-20T12:11:30Z"
"193",-61.4553677291,15.2463765163,"12.63","2017-04-20T12:11:40Z"
"194",-61.4559563901,15.2475445345,"12.63","2017-04-20T12:11:50Z"
"195",-61.4565461408,15.2487503551,"12.63","2017-04-20T12:12:00Z"
"196",-61.4571878593,15.2499099076,"12.15","2017-04-20T12:12:10Z"
"197",-61.457867967,15.2510421351,"12.15","2017-04-20T12:12:20Z"
"198",-61.4585306402,15.2521725185,"12.63","2017-04-20T12:12:30Z"
"199",-61.459234301,15.2532878984,"12.63","2017-04-20T12:12:40Z"
"200",-61.4598903526,15.2544680703,"12.63","2017-04-20T12:12:50Z"
"201",-61.4604076836,15.2557065804,"12.63","2017-04-20T12:13:00Z"
"202",-61.460930882,15.2569323499,"12.63","2017-04-20T12:13:10Z"
"203",-61.4615425095,15.2580692712,"13.12","2017-04-20T12:13:20Z"
"204",-61.4618823957,15.2593096253,"12.63","2017-04-20T12:13:30Z"
"205",-61.4622946177,15.260558445,"12.63","2017-04-20T12:13:40Z"
"206",-61.4627336618,15.261791423,"12.63","2017-04-20T12:13:50Z"
"207",-61.4630858693,15.2630704176,"12.63","2017-04-20T12:14:00Z"
"208",-61.4633752126,15.2643426228,"12.63","2017-04-20T12:14:10Z"
"209",-61.4636546653,15.2655901015,"12.63","2017-04-20T12:14:20Z"
"210",-61.4639870916,15.2668481413,"12.63","2017-04-20T12:14:30Z"
"211",-61.4644430671,15.2681159042,"12.63","2017-04-20T12:14:40Z"
"212",-61.4649291337,15.2693648078,"12.63","2017-04-20T12:14:50Z"
"213",-61.465393072,15.2705723885,"12.63","2017-04-20T12:15:00Z"
"214",-61.4659931324,15.2717315219,"12.15","2017-04-20T12:15:10Z"
"215",-61.4665664546,15.2729117777,"12.15","2017-04-20T12:15:20Z"
"216",-61.4670066722,15.2741731703,"12.63","2017-04-20T12:15:30Z"
"217",-61.4674440399,15.2754282765,"12.63","2017-04-20T12:15:40Z"
"218",-61.4678677451,15.27670132,"12.63","2017-04-20T12:15:50Z"
"219",-61.4682967309,15.2779624611,"12.63","2017-04-20T12:16:00Z"
"220",-61.4688019082,15.2791561279,"12.15","2017-04-20T12:16:10Z"
"221",-61.4692583028,15.2799514867,"12.15","2017-04-20T12:16:20Z"
"222",-61.4693681058,15.2803011797,"10.71","2017-04-20T12:16:30Z"
"223",-61.4694238454,15.2804729249,"10.23","2017-04-20T12:16:40Z"
"224",-61.4694648329,15.2805823926,"10.23","2017-04-20T12:16:50Z"
"225",-61.4694894757,15.2806366235,"10.23","2017-04-20T12:17:00Z"
"226",-61.4695147052,15.2806629427,"10.23","2017-04-20T12:17:10Z"
"227",-61.4695455506,15.2806960512,"10.23","2017-04-20T12:17:20Z"
"228",-61.469564829,15.2807105519,"10.23","2017-04-20T12:17:30Z"
"229",-61.469586622,15.2807213645,"10.71","2017-04-20T12:17:40Z"
"230",-61.4696063194,15.2807370387,"11.19","2017-04-20T12:17:50Z"
"231",-61.4696372487,15.2807430737,"11.19","2017-04-20T12:18:00Z"
"232",-61.4696600474,15.2807507012,"11.67","2017-04-20T12:18:10Z"
"233",-61.4696644899,15.2807646152,"11.67","2017-04-20T12:18:20Z"
"234",-61.4696789905,15.2807830554,"11.67","2017-04-20T12:18:30Z"
"235",-61.4697022084,15.2807865757,"10.71","2017-04-20T12:18:40Z"
"236",-61.4697274379,15.2807909343,"10.23","2017-04-20T12:18:50Z"
"237",-61.4697488956,15.2808027528,"9.75","2017-04-20T12:19:00Z"
"238",-61.4697662462,15.2808072791,"9.75","2017-04-20T12:19:10Z"
"239",-61.4697867818,15.2808194328,"9.75","2017-04-20T12:19:20Z"
"240",-61.4697993547,15.2808267251,"8.31","2017-04-20T12:19:30Z"
"241",-61.4698313735,15.2808291558,"8.79","2017-04-20T12:19:40Z"
"242",-61.4698967524,15.2808655333,"9.27","2017-04-20T12:19:50Z"
"243",-61.4699953236,15.2809307445,"9.27","2017-04-20T12:20:00Z"
"244",-61.4700693358,15.28106343,"9.27","2017-04-20T12:20:10Z"
"245",-61.4701642189,15.2814751491,"9.75","2017-04-20T12:20:20Z"
"246",-61.4702971559,15.2823699173,"10.23","2017-04-20T12:20:30Z"
"247",-61.4704445936,15.2829243802,"10.23","2017-04-20T12:20:40Z"
"248",-61.4703867584,15.2834096923,"10.23","2017-04-20T12:20:50Z"
"249",-61.4698821679,15.2842187975,"9.75","2017-04-20T12:21:00Z"
"250",-61.4692697022,15.2850663755,"12.63","2017-04-20T12:21:10Z"
"251",-61.4686519559,15.2858748939,"11.67","2017-04-20T12:21:20Z"
"252",-61.468081316,15.2866762038,"11.67","2017-04-20T12:21:30Z"
"253",-61.4674755558,15.2874879073,"12.15","2017-04-20T12:21:40Z"
"254",-61.4668387827,15.2882613055,"11.67","2017-04-20T12:21:50Z"
"255",-61.4662208688,15.2890232205,"11.67","2017-04-20T12:22:00Z"
"256",-61.4655695111,15.2897931822,"12.15","2017-04-20T12:22:10Z"
"257",-61.4650187362,15.290619554,"12.15","2017-04-20T12:22:20Z"
"258",-61.4644726552,15.2913870849,"11.67","2017-04-20T12:22:30Z"
"259",-61.4639510494,15.292161908,"11.19","2017-04-20T12:22:40Z"
"260",-61.4633326326,15.2930129226,"11.19","2017-04-20T12:22:50Z"
"261",-61.4626899082,15.2939020749,"11.67","2017-04-20T12:23:00Z"
"262",-61.461992953,15.294721825,"11.67","2017-04-20T12:23:10Z"
"263",-61.461275043,15.2954953071,"11.67","2017-04-20T12:23:20Z"
"264",-61.460540453,15.296329977,"11.67","2017-04-20T12:23:30Z"
"265",-61.4597804658,15.2971571032,"12.15","2017-04-20T12:23:40Z"
"266",-61.4589833468,15.2979776915,"12.15","2017-04-20T12:23:50Z"
"267",-61.458237106,15.2987919934,"11.67","2017-04-20T12:24:00Z"
"268",-61.4574930444,15.2996506356,"11.19","2017-04-20T12:24:10Z"
"269",-61.4567750506,15.3005259577,"10.71","2017-04-20T12:24:20Z"
"270",-61.4560971223,15.3014172055,"10.23","2017-04-20T12:24:30Z"
"271",-61.4554828964,15.3023562301,"9.75","2017-04-20T12:24:40Z"
"272",-61.4548407588,15.3032582905,"9.75","2017-04-20T12:24:50Z"
"273",-61.4542615693,15.3040720057,"9.75","2017-04-20T12:25:00Z"
"274",-61.4539590664,15.3044685535,"9.27","2017-04-20T12:25:10Z"
"275",-61.4538163226,15.3046370298,"8.79","2017-04-20T12:25:20Z"
"276",-61.4537257981,15.304717999,"8.31","2017-04-20T12:25:30Z"
"277",-61.4536719862,15.3047756664,"8.79","2017-04-20T12:25:40Z"
"278",-61.4536448289,15.3048171569,"9.75","2017-04-20T12:25:50Z"
"279",-61.453617923,15.304846745,"9.27","2017-04-20T12:26:00Z"
"280",-61.4536014106,15.3048710525,"9.27","2017-04-20T12:26:10Z"
"281",-61.4535932802,15.3048892412,"7.35","2017-04-20T12:26:20Z"
"282",-61.4535848144,15.3049029037,"9.75","2017-04-20T12:26:30Z"
"283",-61.4535874967,15.3049097769,"9.27","2017-04-20T12:26:40Z"
"284",-61.4535790309,15.3049099445,"9.27","2017-04-20T12:26:50Z"
